palavra,freq_alvo,freq_ref,r
agradabilidade,317,8,48.66
estacionarias,275,15,22.51
acionaveis,126,10,15.47
recuadas,197,18,13.44
opcionais,299,29,12.66
caminhabilidade,772,78,12.15
eficiencias,170,19,10.99
pactual,126,18,8.6
perfilado,117,17,8.45
notarial,495,75,8.1
assistida,381,62,7.55
checagem,472,89,6.51
afastadas,474,94,6.19
indumentaria,150,30,6.14
experiencial,159,32,6.1
afinidade,805,167,5.92
atipica,184,40,5.65
deliberada,411,90,5.61
notariais,146,32,5.6
pioneiro,740,165,5.51
opcional,138,31,5.47
recuos,330,78,5.19
desestabilizacao,130,31,5.15
duvidosa,208,51,5.01
incidencias,135,35,4.74
depositadas,107,28,4.69
persistentes,141,39,4.44
insolvencia,148,42,4.33
comparabilidade,130,37,4.31
interseccionais,116,34,4.19
uniformizacao,167,49,4.18
crucial,1074,326,4.05
interseccional,230,70,4.03
atrativos,380,117,3.99
intensivos,155,48,3.97
expositivo,261,81,3.96
alinhadas,375,121,3.81
agravo,414,135,3.77
equitativa,211,69,3.75
alinhando,119,39,3.75
equitativo,128,42,3.74
arcabouco,815,269,3.72
situacional,265,88,3.7
insurgencia,141,47,3.68
robusta,278,93,3.67
justifique,148,51,3.56
envolvente,115,40,3.53
desenvolvimentismo,162,58,3.43
quantilica,126,47,3.29
efetuar,544,205,3.26
permeabilidade,391,151,3.18
autocorrelacao,142,55,3.17
cruciais,227,90,3.1
disparidades,240,97,3.04
excepcionalidade,162,66,3.01
robustas,110,45,3.0
turbulencia,248,102,2.99
moderador,234,97,2.96
associativas,120,50,2.95
robustos,194,81,2.94
edificados,117,49,2.93
desempenhou,132,56,2.89
contextualizada,113,48,2.89
caminham,103,44,2.87
esboco,280,121,2.84
mobilizadas,101,44,2.82
discursivas,549,244,2.76
esperadas,182,81,2.76
discursiva,772,344,2.76
transcende,178,80,2.73
promovendo,925,422,2.69
assegurando,249,114,2.68
efetuados,111,51,2.67
argumentou,118,56,2.59
difusao,1768,848,2.56
similaridade,363,176,2.53
recomendado,366,178,2.52
globalmente,153,75,2.5
exploram,160,79,2.49
ressaltou,201,100,2.47
desempenha,545,272,2.46
instrumentalizacao,142,71,2.46
desempenham,476,240,2.44
interseccionalidade,269,136,2.43
enfrenta,447,226,2.43
enfrentam,488,248,2.42
colaborando,120,61,2.42
eficazes,431,220,2.41
impulsionando,109,56,2.39
desafia,155,80,2.38
intersecao,153,79,2.38
refletindo,616,319,2.37
pesquisado,364,190,2.35
transformador,135,71,2.33
enfrentados,392,207,2.33
estudando,237,126,2.31
enunciacao,195,104,2.3
revelou,453,242,2.3
inovadoras,369,199,2.28
alinhamento,916,497,2.26
explicativas,182,99,2.26
enfatizou,152,83,2.25
intrinsecamente,261,143,2.24
expostas,717,398,2.21
enfatizando,348,194,2.2
explicativa,179,100,2.2
divulga,392,219,2.2
alinhar,216,121,2.19
perpetua,139,78,2.19
desafiar,155,87,2.19
robusto,167,94,2.18
moldando,129,73,2.17
impulsionada,178,101,2.16
destacou,723,411,2.16
fortalece,245,140,2.15
ponderada,196,112,2.15
abordou,246,141,2.14
destacando,1166,680,2.11
inspirar,134,79,2.08
enfrentou,166,98,2.08
inovadora,259,153,2.08
proporcionando,407,242,2.07
problematizacao,295,176,2.06
garantindo,703,420,2.06
indicador,1591,951,2.05
desafiador,147,88,2.05
engajados,120,72,2.05
frequentemente,1392,837,2.04
identificamos,342,206,2.04
sugerindo,380,229,2.04
rejeita,142,86,2.03
fortalecendo,233,142,2.01
condutor,177,108,2.01
convergencias,113,69,2.01
visualizacao,1176,719,2.01
