"Palavra","n.D_2020_2022","pct_2020-2022","n.D_2023-2025","pct_2023-2025","freq_alvo2023-2025","freq_ref2020-2022","r","classificacao"
"enfrenta",369,"74,24547284",332,"79,04761905",447,226,"2,43","Verbo"
"pesquisado",374,"75,25150905",318,"75,71428571",364,190,"2,35","Verbo"
"desempenha",314,"63,17907445",307,"73,0952381",545,272,"2,46","Verbo"
"divulga",331,"66,59959759",302,"71,9047619",392,219,"2,2","Verbo"
"frequentemente",290,"58,3501006",277,"65,95238095",1392,837,"2,04","Adverbio"
"destacando",246,"49,49698189",256,"60,95238095",1166,680,"2,11","Verbo"
"fortalece",256,"51,50905433",253,"60,23809524",245,140,"2,15","Verbo"
"desafia",220,"44,26559356",236,"56,19047619",155,80,"2,38","Verbo"
"enfrentam",231,"46,47887324",232,"55,23809524",488,248,"2,42","Verbo"
"indicador",288,"57,94768612",228,"54,28571429",1591,951,"2,05","Adjetivo"
"promovendo",191,"38,4305835",227,"54,04761905",925,422,"2,69","Verbo"
"garantindo",194,"39,03420523",219,"52,14285714",703,420,"2,06","Verbo"
"crucial",171,"34,40643863",216,"51,42857143",1074,326,"4,05","Adjetivo"
"refletindo",179,"36,01609658",215,"51,19047619",616,319,"2,37","Verbo"
"acessivel",191,"38,4305835",201,"47,85714286",786,474,"2,04","Adjetivo"
"abertos",186,"37,42454728",188,"44,76190476",1654,743,"2,73","Adjetivo"
"desempenham",141,"28,37022133",184,"43,80952381",476,240,"2,44","Verbo"
"destacou",185,"37,22334004",175,"41,66666667",723,411,"2,16","Verbo"
"proporcionando",128,"25,75452716",173,"41,19047619",407,242,"2,07","Verbo"
"inovadora",151,"30,38229376",167,"39,76190476",259,153,"2,08","Adjetivo"
